Источник перечня;ID строки Directus;Slug;Услуга;Позиция прайса;Статус соответствия;Код по описанию услуги;Официальное название;Коды только для проверки протокола;Названия условных кодов;Основание и ограничения;Источник кода
Актуальный прайс Directus;17;pladuo;Pladuo — плазменные процедуры для кожи;Лицо и шея (шлифовка, лифтинг), 1400 импульсов;Код не установлен по имеющимся данным;;;;;Аргоновая/азотная плазма не равна лазерной шлифовке или плазмотерапии кровью. Нужны РУ, инструкция и конкретный режим воздействия. Код не выбран.;
Актуальный прайс Directus;18;pladuo;Pladuo — плазменные процедуры для кожи;Тело (лечение), 1600 импульсов;Код не установлен по имеющимся данным;;;;;Аргоновая/азотная плазма не равна лазерной шлифовке или плазмотерапии кровью. Нужны РУ, инструкция и конкретный режим воздействия. Код не выбран.;
Актуальный прайс Directus;19;pladuo;Pladuo — плазменные процедуры для кожи;Тело и спина (шлифовка), 2000 импульсов;Код не установлен по имеющимся данным;;;;;Аргоновая/азотная плазма не равна лазерной шлифовке или плазмотерапии кровью. Нужны РУ, инструкция и конкретный режим воздействия. Код не выбран.;
Актуальный прайс Directus;20;pladuo;Pladuo — плазменные процедуры для кожи;1 доп. импульс;Код не установлен по имеющимся данным;;;;;Аргоновая/азотная плазма не равна лазерной шлифовке или плазмотерапии кровью. Нужны РУ, инструкция и конкретный режим воздействия. Код не выбран.;
Актуальный прайс Directus;21;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Лицо;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;22;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Шея;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;23;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Область декольте;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;24;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Лицо + шея;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;25;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Лицо + шея + декольте;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;26;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Кисти рук (обе руки);Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;27;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Щеки;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;28;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Подбородок;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;29;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Крылья носа;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;30;pigment-lumec;Lumecca — фотоомоложение и коррекция пигментации;Минимальная зона;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Соответствие на уровне фототерапии кожи (IPL). Это не лазерная коагуляция; название аппарата и зона не создают новый код.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;31;tesla-former;Tesla Former — аппаратная коррекция фигуры;Первая процедура-знакомство;Код не установлен по имеющимся данным;;;;;"В описании клиники указана магнитная стимуляция мышц. Автоматически относить её к электростимуляции мышц A17.02.001 нельзя; нужна документация и описание медицинского вмешательства.";
Актуальный прайс Directus;32;tesla-former;Tesla Former — аппаратная коррекция фигуры;Одна зона, 30 мин;Код не установлен по имеющимся данным;;;;;"В описании клиники указана магнитная стимуляция мышц. Автоматически относить её к электростимуляции мышц A17.02.001 нельзя; нужна документация и описание медицинского вмешательства.";
Актуальный прайс Directus;33;tesla-former;Tesla Former — аппаратная коррекция фигуры;Курс 10 процедур;Код не установлен по имеющимся данным;;;;;"В описании клиники указана магнитная стимуляция мышц. Автоматически относить её к электростимуляции мышц A17.02.001 нельзя; нужна документация и описание медицинского вмешательства.";
Актуальный прайс Directus;34;tesla-former;Tesla Former — аппаратная коррекция фигуры;Курс 5 процедур;Код не установлен по имеющимся данным;;;;;"В описании клиники указана магнитная стимуляция мышц. Автоматически относить её к электростимуляции мышц A17.02.001 нельзя; нужна документация и описание медицинского вмешательства.";
Актуальный прайс Directus;35;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Лицо;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;36;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Шея;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;37;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Лицо, шея;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;38;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Лицо, шея, декольте;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;39;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Шея, декольте;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;40;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Декольте;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;41;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Глаза;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;42;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Живот;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;43;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Колени;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;44;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Локти;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;45;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Руки до локтей;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;46;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Кисти рук;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;47;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Ягодицы;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;48;rf-lifting-inmode;Morpheus8 — микроигольчатый RF-лифтинг;Область бедер;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;49;laser-epilation;Лазерная эпиляция Pacer One Pro;Лицо полностью;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;50;laser-epilation;Лазерная эпиляция Pacer One Pro;Лоб;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;51;laser-epilation;Лазерная эпиляция Pacer One Pro;Щеки;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;52;laser-epilation;Лазерная эпиляция Pacer One Pro;Виски, или бакенбарды, или нос;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;53;laser-epilation;Лазерная эпиляция Pacer One Pro;Малая зона (верхняя губа / подбородок / межбровье);Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;54;laser-epilation;Лазерная эпиляция Pacer One Pro;Шея (передняя и задняя поверхность);Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;55;laser-epilation;Лазерная эпиляция Pacer One Pro;Руки полностью;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;56;laser-epilation;Лазерная эпиляция Pacer One Pro;Руки до локтя;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;57;laser-epilation;Лазерная эпиляция Pacer One Pro;Подмышки;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;58;laser-epilation;Лазерная эпиляция Pacer One Pro;Пальцы рук;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;59;laser-epilation;Лазерная эпиляция Pacer One Pro;Кисти рук с пальцами;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;60;laser-epilation;Лазерная эпиляция Pacer One Pro;Кисти рук;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;61;laser-epilation;Лазерная эпиляция Pacer One Pro;Белая линия живота;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;62;laser-epilation;Лазерная эпиляция Pacer One Pro;Плечи;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;63;laser-epilation;Лазерная эпиляция Pacer One Pro;Спина, нижняя треть (поясница/крестец);Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;64;laser-epilation;Лазерная эпиляция Pacer One Pro;Спина полностью;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;65;laser-epilation;Лазерная эпиляция Pacer One Pro;Живот полностью;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;66;laser-epilation;Лазерная эпиляция Pacer One Pro;Ореолы;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;67;laser-epilation;Лазерная эпиляция Pacer One Pro;Грудь полностью;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;68;laser-epilation;Лазерная эпиляция Pacer One Pro;Декольте;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;69;laser-epilation;Лазерная эпиляция Pacer One Pro;Бедра, 1 зона;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;70;laser-epilation;Лазерная эпиляция Pacer One Pro;Бедра полностью;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;71;laser-epilation;Лазерная эпиляция Pacer One Pro;Голени с коленями;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;72;laser-epilation;Лазерная эпиляция Pacer One Pro;Колени;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;73;laser-epilation;Лазерная эпиляция Pacer One Pro;Стопа;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;74;laser-epilation;Лазерная эпиляция Pacer One Pro;Пальцы ног;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;75;laser-epilation;Лазерная эпиляция Pacer One Pro;Стопа с пальцами ног;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;76;laser-epilation;Лазерная эпиляция Pacer One Pro;Ноги полностью;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
